7zip 25.01-1
a52dec 0.8.0-2
aalib 1.4rc5-19
abseil-cpp 20250814.1-1
accountsservice 23.13.9-2
acl 2.3.2-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.9-1
alsa-lib 1.2.14-2
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
amd-ucode 20251111-1
aom 3.13.1-1
appstream 1.1.1-1
arandr 0.1.11-5
archlinux-keyring 20251116-1
argon2 20190702-6
aribb24 1.0.3-4
aribb25 0.2.7-3
at-spi2-core 2.58.2-1
attr 2.5.2-1
audit 4.1.2-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1
ayatana-ido 0.10.4-1
baobab 49.1-1
base 3-2
base-devel 1-2
bash 5.3.3-2
binutils 2.45.1-1
bison 3.8.2-8
blas 3.12.1-2
blueman 2.4.6-1
bluez 5.85-1
bluez-libs 5.85-1
bluez-utils 5.85-1
boost-libs 1.89.0-3
botan 3.10.0-1
botan2 2.19.5-2
bridge-utils 1.7.1-2
brotli 1.1.0-3
btop 1.4.5-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.118.1-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm-1.16 1.18.0-2
caribou 0.4.21+75+g8ad9883-8
cava 0.10.6-1
cbindgen 0.29.2-1
cblas 3.12.1-2
chromaprint 1.6.0-2
cifs-utils 7.4-1
cinnamon 6.4.13-1
cinnamon-control-center 6.4.2-1
cinnamon-desktop 6.4.2-1
cinnamon-menus 6.4.0-1
cinnamon-screensaver 6.4.1-1
cinnamon-session 6.4.2-1
cinnamon-settings-daemon 6.4.3-1
cjs 128.0-1
clang 21.1.6-1
clang19 19.1.7-1
clucene 2.3.3.4-16
clutter 1.26.4-3
cmake 4.2.0-1
cogl 1.22.8-3
colord 1.4.8-1
compiler-rt 21.1.6-1
compiler-rt19 19.1.7-1
composefs 1.0.8-1
confuse 3.3-4
coreutils 9.9-1
cowsay 3.8.4-1
cppdap 1.58.0-2
cracklib 2.10.3-1
cronie 1.7.2-2
cryptsetup 2.8.1-1
curl 8.17.0-2
dav1d 1.5.2-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-glib 0.114-1
dbus-units 37-2
dconf 0.49.0-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.37-1
diffutils 3.12-2
directx-headers 1.618.2-1
djvulibre 3.5.29-1
dmidecode 3.6-1
dnsmasq 2.91-1
double-conversion 3.3.1-1
duktape 2.7.0-7
e2fsprogs 1.47.3-2
efibootmgr 18-3
efivar 39-1
elfutils 0.194-1
ell 0.81-1
enchant 2.8.12-2
engrampa 1.28.2-2
evince 1:48.1-1
exempi 2.6.6-2
expat 2.7.3-1
expressvpn 3.83.0.2-1
faad2 2.11.2-1
fakeroot 1.37.1.2-1
ffmpeg 2:8.0.1-1
ffmpeg4.4 4.4.6-3
fftw 3.3.10-7
file 5.46-5
file-roller 44.6-1
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 145.0.2-1
flac 1.5.0-1
flatpak 1:1.16.1-1
flex 2.6.4-5
fluidsynth 2.5.1-1
fmt 12.1.0-1
fontconfig 2:2.17.1-1
fortune-mod 3.24.0-1
freeglut 3.8.0-1
freetype2 2.14.1-1
fribidi 1.0.16-2
ftgl 2.4.0-3
fuse-common 3.17.4-1
fuse2 2.9.9-5
fuse3 3.17.4-1
gamemode 1.8.2-1
gawk 5.3.2-1
gc 8.2.10-2
gcc 15.2.1+r301+gf24307422d1d-1
gcc-libs 15.2.1+r301+gf24307422d1d-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gdb 16.3-1
gdb-common 16.3-1
gdbm 1.26-1
gdk-pixbuf2 2.44.4-1
gettext 0.26-1
